Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.8474403378908592,8.264,3.538468315601349,16.05
2,0.7384465954187885,18.942,3.1373178362846375,22.32
3,0.663343241147678,26.146,2.8561290812492373,27.63
4,0.5962019881324085,32.112,2.6172937679290773,32.26
5,0.5454763003322475,37.346,2.5010012006759643,34.2
6,0.5055011035231374,41.738,2.2657723462581636,40.47
7,0.4703970745091548,45.772,2.1240734779834747,43.81
8,0.42642379142439274,49.848,2.122382651567459,43.47
9,0.3924145469885043,53.61,1.920332636833191,47.83
10,0.36154399564504014,57.298,1.846661206483841,49.78
11,0.3273386738794234,61.41,1.7513533890247346,52.0
12,0.2898324962772067,65.096,1.690846827030182,54.16
13,0.2569690889409741,68.958,1.6198813676834107,56.17
14,0.23162006493419637,71.936,1.6024058961868286,56.39
15,0.22409374939511195,73.858,1.5832401669025422,56.76
16,0.4342740295488206,48.708,2.183117083311081,42.05
17,0.4010463629842109,52.574,2.0181539058685303,46.35
18,0.3694048964458963,55.554,1.9200674283504486,48.51
19,0.34874608571572074,57.95,1.8703583729267121,49.62
20,0.33275838581192524,60.214,1.8982813191413879,49.46
21,0.31163000694626125,62.156,1.8856344425678253,50.61
22,0.29334261182628935,64.206,1.7162077975273133,53.79
23,0.2814058095902738,66.13,1.7132522082328796,53.54
24,0.26337733171175204,68.046,1.6344883811473847,55.6
25,0.2466516313345536,70.016,1.603978338241577,56.41
26,0.23233109468694232,72.172,1.6106130969524384,56.66
27,0.21288851368457765,74.122,1.6316139662265778,56.46
28,0.1966081334806769,76.508,1.6572909379005432,56.81
29,0.1756909033831428,78.82,1.6050282633304596,58.12
30,0.1531565367718182,81.132,1.5651841127872468,58.9
31,0.13251836746549972,84.052,1.5434604024887084,60.22
32,0.11114010512066619,86.478,1.5182881742715835,60.74
33,0.09337191813437225,88.848,1.5193679785728456,61.41
34,0.071894770959759,91.618,1.4861548733711243,62.54
35,0.05625286858404994,93.656,1.4765604102611543,62.9
36,0.04453110641530712,95.376,1.4641313081979752,63.79
37,0.03297424506958183,96.762,1.4436933660507203,64.88
38,0.024696473079874083,97.754,1.45328517973423,64.58
39,0.019360868122114246,98.272,1.4380613440275192,65.26
40,0.015634137889384614,98.834,1.4256313246488572,65.5
41,0.013896527521483733,99.038,1.4277193659543992,65.65
42,0.01129857777520214,99.264,1.4178433245420456,66.09
43,0.010847313901233247,99.398,1.4160983502864837,65.72
44,0.010162601571368135,99.396,1.4180894869565963,65.99
45,0.009874155797312021,99.486,1.4009013891220092,66.12
46,0.2829066129291759,67.46,1.9433464670181275,50.39
47,0.2534981008685763,69.276,1.9445900344848632,50.61
48,0.22610215107193382,72.284,1.7783033645153046,53.68
49,0.21009969010072596,74.352,1.739204741716385,54.92
50,0.20085707283995646,76.182,1.6768032121658325,56.74
51,0.18947633140532258,76.92,1.7027007067203521,56.04
52,0.1788553465967593,78.48,1.5890179300308227,59.1
53,0.16978103608426537,80.208,1.7230341303348542,56.25
54,0.16545094492490334,81.026,1.6878953278064728,57.61
55,0.15674075438543353,82.532,1.7113937664031982,57.2
56,0.14633478395774235,83.034,1.6938748693466186,57.7
57,0.1379267583265329,83.888,1.6393810737133026,59.2
58,0.12771920185259847,85.256,1.647872463464737,59.36
59,0.1161156375237438,86.23,1.7089797675609588,58.39
60,0.11642845733391355,86.848,1.669092835187912,59.08
61,0.10697879236372536,87.756,1.685477220416069,59.18
62,0.0986114305532192,88.62,1.767446322441101,57.8
63,0.09295834863887113,89.35,1.6651128685474397,59.91
64,0.08750840438448865,90.292,1.713671599626541,58.77
65,0.08174574489483748,91.166,1.7697006666660309,58.24
66,0.07719348668289916,91.64,1.7283973896503448,59.56
67,0.07391800481797484,91.808,1.7035701847076417,60.12
68,0.06600104173278565,92.8,1.6842980015277862,60.12
69,0.05772326879031823,93.864,1.7063797986507416,60.82
70,0.05620874243471628,94.076,1.6969892185926438,60.64
71,0.049325902920092465,94.586,1.7137704074382782,60.1
72,0.041434506568914786,95.556,1.713251806497574,60.55
73,0.03462033120491315,96.098,1.6378687059879302,62.51
74,0.03264810450737129,96.74,1.6592312508821487,62.03
75,0.028448433674814755,97.044,1.6143491584062577,63.05
76,0.020452310133468158,97.718,1.6021797859668732,63.91
77,0.01755990787787968,98.206,1.5701382809877396,64.43
78,0.016596480699070274,98.48,1.6162383699417113,63.29
79,0.011786316776328989,98.88,1.5417770159244537,64.45
80,0.010167333771429404,99.142,1.5395393872261047,65.05
81,0.008078104270922254,99.364,1.5158353114128114,65.81
82,0.007519378729374208,99.478,1.5325686371326446,65.22
83,0.004920206630550077,99.642,1.4807717591524123,66.27
84,0.00406182716574396,99.744,1.4677162873744964,66.52
85,0.0034409736788086117,99.808,1.455907695889473,66.52
86,0.0031075747969472197,99.832,1.4417188453674317,67.1
87,0.0027093158551322683,99.87,1.4276132613420487,66.72
88,0.0026298464166329186,99.904,1.420509906411171,67.25
89,0.0027975825630985867,99.85,1.4125647312402725,67.55
90,0.0023570332802412912,99.914,1.4134046357870103,67.37
91,0.0023833447340828227,99.908,1.396188617348671,67.85
92,0.0024075036442093075,99.932,1.3944117963314056,67.81
93,0.00219762391741852,99.934,1.390390465259552,67.42
94,0.002281584996072685,99.946,1.3883341145515442,67.56
95,0.0021888376701899503,99.916,1.3876895225048065,68.44
96,0.002120023293187246,99.936,1.382370936870575,68.02
97,0.0020597599437245932,99.942,1.3730587369203568,68.06
98,0.0021169330207797725,99.946,1.3742222309112548,68.19
99,0.0019346890575669307,99.952,1.3724752920866012,67.78
100,0.0021615622153081703,99.95,1.3795032215118408,68.21
