Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.8564961176089314,8.086,3.5461212301254275,15.56
2,0.7417904544059578,18.318,3.2690219569206236,22.36
3,0.6641433568256895,25.21,2.8546257328987124,27.77
4,0.6030962705002416,31.1,2.6430514359474184,31.56
5,0.5554356099394582,36.17,2.5943822383880617,33.84
6,0.513047433875101,40.26,2.3877990460395813,39.67
7,0.4775056793256794,44.418,2.2762528586387636,42.14
8,0.4380873246570987,48.01,2.0777151346206666,45.39
9,0.404285221758401,51.924,2.1068932247161865,45.73
10,0.37108958011393045,55.604,1.8971952509880066,49.95
11,0.33101567222029354,59.402,1.7953787207603455,51.95
12,0.29631170912471877,63.25,1.8132197964191437,53.12
13,0.2718947984068595,67.174,1.761713638305664,54.17
14,0.24021704529252502,70.53,1.795599730014801,55.54
15,0.21204140713757566,72.852,1.893193319439888,55.61
16,0.4382921783515559,47.57,2.22118816614151,42.6
17,0.4152496800093395,51.0,2.1880893540382385,44.36
18,0.39760051328507834,53.642,2.3005900728702544,43.69
19,0.375507566325195,55.484,5.053192353248596,39.85
20,0.3887490631674257,55.714,1.9511786127090454,48.52
21,0.34264775493260846,58.352,2.0138960003852846,50.06
22,0.3204231134156132,61.096,1.7906435310840607,52.3
23,0.2919550423731889,63.354,1.768261548280716,53.54
24,0.27887591712005305,65.768,1.7847521555423738,53.99
25,0.26668186855438114,67.574,1.7836040759086609,53.46
26,0.24460197775565146,68.888,1.671429339647293,55.75
27,0.231108692905787,71.612,1.698227059841156,56.27
28,0.20478080468409507,74.136,1.6555804371833802,57.21
29,0.19358041661474712,76.058,1.591470553278923,58.59
30,0.17466087185818216,78.626,1.5986985349655152,59.06
31,0.14700040404144152,81.268,1.5664009141921997,59.99
32,0.1267813928139484,83.782,1.5531642299890518,60.47
33,0.11276669133349758,86.244,1.5574570643901824,60.87
34,0.0932259712835102,88.952,1.5348928093910217,61.83
35,0.07260413326875632,91.268,1.513767877817154,62.36
36,0.056258772302161704,93.216,1.4933999091386796,63.52
37,0.04597743615851073,94.966,1.4743441867828369,64.16
38,0.03725620654537855,96.166,1.4944341063499451,64.04
39,0.028272395986882623,97.126,1.4867747116088867,64.45
40,0.0255962870633968,97.61,1.455524982213974,65.29
41,0.02055740234492075,98.2,1.4487840467691422,65.53
42,0.018307365181729617,98.464,1.4403914511203766,65.98
43,0.016762349135278132,98.752,1.4645285099744796,65.43
44,0.014893427757960756,98.85,1.4366035401821136,66.09
45,0.015125782793516394,98.888,1.43385415494442,65.66
46,0.26852469264393874,67.236,1.8860259938240052,52.07
47,0.2483591548622112,68.86,2.1671252703666686,49.34
48,0.2230303054270537,71.382,1.815259680747986,53.4
49,0.2195868694873722,73.202,1.8202873194217681,54.66
50,0.19929332623396384,75.1,1.6959183359146117,56.16
51,0.18632983155262745,76.504,1.719098117351532,56.01
52,0.17519609504343603,78.044,1.6697599327564239,57.69
53,0.16837166444115018,79.282,1.715493414402008,56.85
54,0.1680527055050101,80.276,1.7048943638801575,56.87
55,0.15555133325669468,81.43,1.995143290758133,52.52
56,0.14783875838569974,82.586,1.5989824557304382,59.43
57,0.13624919360251073,83.534,1.7036523473262788,57.85
58,0.13144655255100612,84.502,1.6510127770900727,58.6
59,0.12925580944246648,85.292,1.7745570814609528,56.33
60,0.11678771312584353,85.98,1.617728835940361,59.63
61,0.11682599584769715,86.284,1.6798811948299408,59.18
62,0.10334835317738526,87.73,1.6625508165359497,59.08
63,0.10079684220921353,88.382,1.646960005760193,59.41
64,0.09847051918963946,88.83,1.6965564024448394,58.98
65,0.09366835642348775,89.576,1.6755061751604081,60.25
66,0.08213588694477325,90.368,1.6656717550754547,60.25
67,0.07412999616864392,91.344,1.6900692701339721,59.91
68,0.06862748290419274,92.094,1.6574558454751969,60.62
69,0.06505475381908514,92.45,1.681953181028366,60.42
70,0.058885496519410704,93.186,1.6440226769447326,60.98
71,0.05505194627415494,93.564,1.570720635652542,62.87
72,0.04813535580092379,94.74,1.60292090177536,62.3
73,0.04519688271348129,95.284,1.5968779474496841,63.3
74,0.03893025514795957,95.824,1.5846238487958908,63.3
75,0.032595972061309667,96.494,1.57965451836586,62.87
76,0.027400064984779527,97.046,1.596798141002655,63.0
77,0.021824884692878674,97.692,1.528367167711258,64.1
78,0.02097440486216484,97.922,1.5306628465652465,64.58
79,0.018994736844850015,98.29,1.5201993787288666,64.94
80,0.0141920808921842,98.702,1.491192724108696,65.55
81,0.010955195383304524,99.01,1.4919600754976272,65.46
82,0.009234996460130453,99.184,1.458276428580284,66.3
83,0.008334823643498104,99.376,1.4287461620569228,66.29
