Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.0790946294584542,1.304,4.644285739222659,1.29
2,0.8245974080946744,9.6,3.581387797488442,14.35
3,0.6819888338103623,20.57,3.0057142384444613,24.54
4,0.5560929311815735,31.618,2.518430181696445,34.0
5,0.48367524482405094,40.422,2.308323860168457,39.19
6,0.4372216658214169,45.728,2.253906947147997,40.14
7,0.3923284159901807,51.544,2.042468072492865,45.54
8,0.3611070475614894,55.82,1.8859839997714078,48.79
9,0.33892187529512685,59.07,1.7100595703607873,52.71
10,0.30230479289198775,62.758,1.5151925856554056,57.71
11,0.27898473004855767,65.634,1.4169048885755902,59.61
12,0.2513109501975272,68.892,1.3487239819538743,61.69
13,0.22539525218022144,72.478,1.246623920488961,64.01
14,0.19312986373291602,76.482,1.1312623929373826,67.63
15,0.14827645442369955,80.76,1.0553799158410182,69.8
16,0.11548634936742465,85.294,0.9734734847575803,71.86
17,0.08431215885350161,89.606,0.9153637531437452,73.53
18,0.05870918571339239,92.954,0.8633477295501323,75.82
19,0.04922773889111131,94.958,0.852232372458977,75.79
20,0.31482731716712115,58.738,1.713214436663857,53.52
21,0.28742297134740885,64.21,1.748755494250527,54.1
22,0.27508171912654283,66.262,1.5393666134604924,58.47
23,0.2644132092175886,67.808,1.5842162808285485,56.86
24,0.25434110033542606,68.898,1.52265871929217,58.17
25,0.24300689541775247,70.14,1.5659476247014879,56.98
26,0.24304573066399227,70.912,1.421868133394024,60.72
27,0.22229003403192896,72.182,1.4156151557270484,60.73
28,0.2261854372061122,73.26,1.348045008091987,62.07
29,0.21164728384798445,74.486,1.3485513095614277,61.85
30,0.2000618198948443,76.294,1.3616202715076977,62.58
31,0.18356000721607063,77.844,1.4241856638389299,61.91
32,0.1697218048450587,79.034,1.3200060883654823,63.73
33,0.16203151868127497,80.802,1.3045327731325655,63.88
34,0.1519032866906022,82.43,1.2962457492381712,65.38
35,0.128245063602467,84.888,1.1274739179430129,68.42
36,0.11243313368019241,86.972,1.1246767096881625,69.39
37,0.09335354660325648,89.096,1.1269974361492108,69.31
38,0.07455243654263294,91.574,1.041754628284068,71.36
39,0.05066832642802192,94.398,1.1183189711993253,71.7
40,0.0371892510167778,96.316,0.9329861138440385,74.45
41,0.019673269518348566,98.156,0.8531478062460695,77.22
42,0.013102107178753295,98.95,0.8397130543672586,77.85
43,0.007300402566580973,99.502,0.8091447153423406,79.18
44,0.005213519910831585,99.752,0.8105353501778615,79.12
45,0.0038290215177399574,99.852,0.8065538025355037,78.9
46,0.003273255418023795,99.904,0.7831703575351571,79.44
47,0.002810582125564213,99.93,0.7921842593180982,79.56
48,0.00250801804434994,99.942,0.7876399446137344,79.58
49,0.0026439208825549962,99.938,0.7899867929989779,79.55
50,0.2854868935806977,61.394,1.7227960010118122,55.07
51,0.25589208011432074,68.53,1.5580631766138198,58.14
52,0.2324105534712067,71.308,1.424585292610941,60.37
53,0.22587590418813175,72.612,1.586919574797908,57.29
54,0.21930610661006644,73.456,1.4610642406004895,59.87
55,0.2135901768189257,74.364,1.6428496022767658,57.28
56,0.2121575840598787,74.632,1.5539645167845715,58.84
57,0.20678960484312015,75.144,1.3751457567456402,62.12
58,0.20756889471922385,75.424,1.465426603450051,60.27
59,0.20171663066005463,76.024,1.5757628075684174,58.53
60,0.1955437815707663,76.562,1.383787171750129,62.7
61,0.19639196847101,76.91,1.4738359783269182,60.33
62,0.19629914574610913,77.246,1.3798384726802004,62.41
63,0.18834746417487064,77.868,1.6952982974957815,57.87
64,0.1840358038082757,78.144,1.378631517856936,62.58
65,0.17927050971619005,78.798,1.3357737245438974,63.65
66,0.17616727818613467,79.314,1.3278095035613338,63.97
67,0.1760719125837926,80.042,1.2881562913520426,64.85
68,0.16529142185855095,80.318,1.3069613545755796,64.94
69,0.16786587466974087,80.974,1.407943381538874,62.35
70,0.15307097796284025,81.498,1.2833233362511745,66.04
71,0.1528794127504539,82.416,1.2669668295715428,65.53
72,0.14828057659556493,82.752,1.2532448964782907,66.18
73,0.13921033909253758,83.766,1.2497245827807655,66.94
74,0.13301890989398713,84.216,1.273588729055622,66.39
75,0.12489893216916058,85.18,1.4559681958790067,63.04
76,0.12805594965015227,86.058,1.1921122247659708,68.06
77,0.1155457832776677,86.866,1.3599734540227093,65.23
78,0.1102011232729763,87.86,1.230538421793829,67.39
79,0.10071248814577946,88.67,1.2355476753621162,67.8
80,0.09563612030900043,89.448,1.2162617180920854,67.32
81,0.08679452820507157,90.596,1.1381520093241824,69.54
82,0.07650327480510068,91.528,1.1071381795255444,70.47
83,0.06976241845151653,92.538,1.179818557787545,69.38
84,0.059650816137680925,93.784,1.1932237849959844,69.86
85,0.05250149843333018,94.656,1.1520032211195064,70.98
86,0.04470512741590705,95.154,1.15369760839245,71.12
87,0.04051888055737366,95.936,1.0774271163759352,72.8
88,0.030231431031318576,96.916,1.0522665162629719,72.77
89,0.023031735559329962,97.954,0.9119365336019781,75.99
90,0.017152668207960055,98.568,0.9290288645255415,75.54
91,0.012440088931518748,99.076,0.9151169182379034,76.95
92,0.008750837720225535,99.412,0.8658766199516345,77.52
93,0.0074186464985999305,99.602,0.8401324952704997,77.82
94,0.004576204473252797,99.77,0.7927136730544174,79.32
95,0.003967906449637983,99.832,0.8016000208975393,79.09
96,0.002947611564560734,99.932,0.7818637961828256,79.38
97,0.0025244253518445716,99.924,0.7766712579546096,80.01
98,0.0024122562762016377,99.94,0.7613351379014268,80.26
99,0.0022130184354322495,99.942,0.767741746540311,80.29
100,0.002260327858426382,99.95,0.7599312399007097,80.42
