epoch,train_loss,train_accuracy,test_loss,test_accuracy
1.0,4.046216978746302,8.386,3.735717396736145,13.32
2.0,3.6922565908992993,13.24,3.5119044017791747,17.47
3.0,3.507618520570838,16.434,3.35080801486969,19.27
4.0,3.3792440068081517,18.67,3.2255325984954832,22.12
5.0,3.2826859883945008,20.59,3.1533686399459837,22.99
6.0,3.1960150738201483,22.192,3.1068392062187193,23.88
7.0,3.1218467008732165,23.82,3.0079170775413515,26.07
8.0,3.0580190106121172,24.776,2.9813932394981384,26.37
9.0,2.9979616778585916,26.06,2.93480975151062,27.29
10.0,2.9366748180535747,27.072,2.9015097713470457,27.67
11.0,2.8930020655512503,28.016,2.87777818441391,28.69
12.0,2.830028358322885,29.404,2.821094579696655,29.7
13.0,2.7806844388127634,30.324,2.7986805510520933,30.46
14.0,2.722411339850072,31.626,2.7687949180603026,30.85
15.0,2.681368921114051,32.332,2.733698513507843,31.64
16.0,2.6374638733046742,33.222,2.7131992292404177,32.27
17.0,2.5871332880786007,34.29,2.690753061771393,33.1
18.0,2.5454844306497013,35.082,2.691637845039368,33.06
19.0,2.493223653120153,36.164,2.6385499596595765,34.37
20.0,2.448098927812503,36.722,2.658526315689087,33.35
21.0,2.410888531628777,37.714,2.6554747581481934,34.39
22.0,2.367813930791967,38.92,2.6506315636634827,34.31
23.0,3.8356570971896278,13.04,3.8969552230834963,10.7
24.0,3.87520389300783,11.102,3.7726899766921997,12.77
25.0,4.149494562002704,7.368,4.036712381839752,9.0
26.0,4.007428058273042,9.28,3.8969044995307924,11.11
27.0,3.894952277088409,10.846,3.811173620223999,12.26
28.0,3.8303851349579405,11.964,3.755925178527832,13.07
29.0,3.7906614599935233,12.526,3.7287341737747193,13.4
30.0,3.763542613105091,13.018,3.695895857810974,13.82
31.0,3.730820868021387,13.58,3.6841945171356203,14.15
32.0,3.706846001203103,13.948,3.712954697608948,13.85
33.0,3.6944460698100916,14.086,3.634193856716156,15.16
34.0,3.6698090883776966,14.442,3.6274573016166687,15.28
35.0,3.6556789515268466,14.68,3.606904592514038,15.68
36.0,3.6370737070927532,15.148,3.6028456115722656,16.19
37.0,3.632332423763812,15.128,3.5947567224502563,15.88
38.0,3.621804737373996,15.214,3.5853342509269712,15.94
39.0,3.6091900115732645,15.242,3.581291711330414,16.16
40.0,3.6009954339098136,15.876,3.5867287516593933,15.94
41.0,3.577279832966797,15.986,3.5598068690299987,16.71
42.0,3.5811221483723283,16.176,3.5571416878700255,16.48
43.0,3.5647932940431875,16.3,3.5461017179489134,17.11
44.0,3.552384161278415,16.366,3.552295837402344,17.24
45.0,3.53996898573073,16.732,3.5295876979827883,16.85
46.0,3.5271543682078876,17.016,3.5091869020462036,17.68
47.0,3.5164953668404113,17.112,3.5135259509086607,17.76
