Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,4.634039887991707,5.188,3.7658420109748842,10.53
1,3.6702853450384896,12.99,3.398168103694916,18.01
2,3.3979394533445157,17.766,3.2616558051109314,20.89
3,3.2733029105779154,20.016,3.223007709980011,22.52
4,3.059784692266713,24.252,2.932255172729492,26.93
5,2.918270901950729,26.59,2.829275848865509,28.67
6,2.7946547522874137,29.19,3.2277114582061768,26.55
7,2.71494193211236,30.544,2.689308805465698,31.81
8,2.6118719016804413,32.746,2.6081764447689055,33.2
9,2.509974111376516,34.876,2.465359971523285,36.26
10,2.4603403556682264,35.526,2.561908853054047,35.16
11,2.397979409798332,36.954,2.6731322813034057,32.9
12,2.343847286365831,38.17,2.5815429747104646,34.28
13,2.3077814231443283,38.982,2.41003534078598,37.55
14,2.2565672077486276,40.006,2.4415659284591675,36.88
15,2.22018178192246,40.962,2.347483665943146,38.64
16,2.194993842288356,41.784,2.3326427042484283,39.58
17,2.1638821421376884,41.97,2.4151216208934785,38.28
18,2.128695723040939,42.976,2.2930591535568237,40.46
19,2.103467778781491,43.41,2.3959510242938995,39.03
20,2.083014231813533,43.806,2.2917828166484835,41.03
21,2.0576851325266805,44.346,2.2862998700141905,40.8
22,2.043584982147607,44.832,2.187129786014557,42.28
23,2.0077168417098883,45.546,2.2354282784461974,41.04
24,2.0040941259745138,45.748,2.230204155445099,42.27
25,1.981970232465993,46.056,2.2435444414615633,42.04
26,1.9621321066566135,46.836,2.175929136276245,42.73
27,1.952989998375973,46.834,2.1963479673862456,42.6
28,1.9514256005396928,47.094,2.2914765441417693,40.52
29,1.9175767261353904,47.476,2.1809316372871397,42.8
30,1.4103402192025538,60.444,1.601130610704422,55.76
31,1.2166624709468363,64.932,1.5682703125476838,57.27
32,1.1266596763944992,67.588,1.5517714083194734,57.39
33,1.0548052905160752,69.39,1.5519133734703063,57.56
34,1.0011910299206024,70.904,1.5485796689987184,58.31
35,0.9387113720254825,72.296,1.5614728462696075,57.95
36,0.886757143927962,73.93,1.5810575020313262,58.44
37,0.8387694462485935,75.196,1.6269065058231353,57.29
38,0.7897009767229904,76.848,1.6155323868989944,58.19
39,0.7399316500977177,77.88,1.6330123353004455,57.86
40,0.6980495208212177,79.104,1.6523724281787873,57.72
41,0.6569960201945146,80.226,1.7172230768203736,56.87
42,0.623331180618852,81.142,1.7307198321819306,56.91
43,0.585726768311942,82.428,1.741942446231842,56.98
44,0.5525767976213294,83.246,1.7783478772640229,56.28
45,0.5207333878787888,84.376,1.7882926726341248,56.39
46,0.49807790729700757,85.0,1.8353784573078156,56.25
47,0.4621684637368488,86.014,1.8675264358520507,55.66
48,0.4512879215085598,86.318,1.8987013125419616,55.96
49,0.42481367362429723,87.06,1.9270692682266235,54.93
50,0.40948166924974194,87.54,1.8917350625991822,55.9
51,0.3902846015322849,88.114,1.9261657309532165,55.26
52,0.3658277332172979,88.896,1.960755010843277,55.19
53,0.35951358548668033,89.032,1.997816915512085,55.37
54,0.34121307040876747,89.774,1.9873870480060578,55.22
55,0.3314977221934082,89.958,2.0125511252880095,55.19
56,0.3164128219456319,90.478,2.045678129196167,54.84
57,0.3016223014925447,90.986,1.9753492617607116,55.75
58,0.2969173003950387,91.072,2.014492735862732,55.35
59,0.29119707194283184,91.248,2.0855848598480224,54.13
60,0.1583569731058367,95.88,1.8417459297180176,58.41
61,0.10274143720907933,97.824,1.8257095956802367,58.98
62,0.0853116844621156,98.4,1.8170310854911804,59.26
63,0.0747926697763793,98.702,1.8225946712493897,59.14
64,0.06668384329837454,98.888,1.8179855179786681,59.37
65,0.0615826165184493,99.064,1.8203192198276519,59.28
66,0.056455634867824865,99.196,1.8286098635196686,59.19
67,0.052418131705211556,99.27,1.821565762758255,59.27
68,0.04958582450838193,99.3,1.8254129528999328,59.41
69,0.047730436867765146,99.368,1.8238199317455293,59.39
70,0.04447055683302148,99.42,1.8263802015781403,59.32
71,0.04364329235404349,99.446,1.8274625384807586,59.06
72,0.0414040132909251,99.47,1.8342650747299194,59.43
73,0.03957222983279192,99.526,1.8314407896995544,59.52
74,0.03727546436688327,99.59,1.8252518212795257,59.6
75,0.0367158057877932,99.544,1.8332378017902373,59.25
76,0.03606218010511087,99.582,1.8332066488265992,59.33
77,0.034184045194055115,99.618,1.8338122534751893,59.49
78,0.03289444794845017,99.66,1.836002665758133,59.66
79,0.0330007493357791,99.646,1.8351941901445388,59.51
80,0.03038060276166481,99.712,1.835110297203064,59.59
81,0.02965208401431894,99.738,1.8399472159147263,59.48
82,0.0293486757642206,99.726,1.8411512339115144,59.26
83,0.028577074075065306,99.724,1.8444704914093017,59.54
84,0.028185651804346717,99.724,1.8395818233489991,59.6
85,0.02741566256565206,99.728,1.8464975404739379,59.45
86,0.027932000903846205,99.72,1.8435400795936585,59.63
87,0.026901218423243525,99.712,1.8476091539859771,59.52
88,0.025791329386479715,99.764,1.8403777921199798,59.5
89,0.025399575331498444,99.734,1.84781227350235,59.47
90,0.02479671876486915,99.782,1.8460106587409972,59.51
91,0.024225437873140777,99.802,1.8458626890182495,59.53
92,0.024137700119477405,99.804,1.843753695487976,59.56
93,0.02388232273509359,99.804,1.8476128220558166,59.55
94,0.023979748191926484,99.788,1.8409748113155364,59.73
95,0.023678860862922792,99.79,1.84177041888237,59.45
96,0.023456680223993633,99.81,1.8389415657520294,59.67
97,0.023669633788087636,99.812,1.8397052609920501,59.38
98,0.023125110999168946,99.814,1.8423064506053926,59.43
99,0.02380046314176391,99.784,1.8458226764202117,59.54
