Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
0,4.0519798814183305,8.374,3.658150873184204,12.9
1,3.448132151532966,16.652,3.2275298500061034,19.91
2,3.1443339540525472,22.116,3.0981063508987425,22.81
3,2.909015828081409,26.552,2.775674965381622,29.62
4,2.7497081646833883,29.56,2.782653751373291,30.12
5,2.6243058043672605,32.33,2.5726855206489563,33.76
6,2.5084100385456134,34.864,2.549186501502991,34.34
7,2.4302090427759664,36.032,2.507943902015686,35.28
8,2.3552013248433847,37.84,2.3417532658576965,38.35
9,2.2961651629499156,39.088,2.3519865906238557,38.62
10,2.2571494710414917,40.058,2.3652140164375304,38.17
11,2.211116841991844,41.068,2.2715648877620698,40.81
12,2.170008391370554,41.926,2.1933593904972075,41.66
13,2.142067007396532,42.378,2.5143877553939817,36.95
14,2.102591135312834,43.566,2.235597586631775,41.86
15,2.0903952231492533,43.608,2.2739065873622892,41.23
16,2.064241409301758,44.196,2.2887395107746125,40.97
17,2.0409585499702514,44.948,2.1185531878471373,43.81
18,2.012997500731817,45.564,2.2288860392570498,41.31
19,2.0015952882864285,45.604,2.2153095173835755,41.91
20,1.9801324673016052,46.302,2.1653397035598756,42.76
21,1.9666507518504892,46.656,2.2054621839523314,42.73
22,1.9472141192697199,46.846,2.182509970664978,42.84
23,1.940090387373629,47.058,2.2431249737739565,42.24
24,1.927843249362448,47.652,2.2470093250274656,41.12
25,1.9115206835519931,48.02,2.388294131755829,40.14
26,1.9067144445751025,48.114,2.1748957669734956,43.73
27,1.8860711706873705,48.368,1.9761009573936463,47.42
28,1.8849412879675551,48.236,2.0277652955055236,45.87
29,1.867709322658646,48.886,2.111468801498413,44.88
30,1.4044346021264411,60.54,1.5731953942775727,56.93
31,1.2236992869230792,64.882,1.5353268420696258,57.93
32,1.1406402991860725,67.134,1.5194170010089874,58.39
33,1.0788973042422243,68.474,1.5188065516948699,58.65
34,1.029276182736887,69.798,1.5307253217697143,58.53
35,0.9859294389824733,71.046,1.5196018362045287,58.99
36,0.9400090146857454,72.116,1.538974643945694,58.55
37,0.8974120408067923,73.286,1.5392255914211272,58.79
38,0.8589693288059186,74.322,1.5566199731826782,58.86
39,0.8217996483873529,75.392,1.582707405090332,58.48
40,0.7942183459811198,75.878,1.618460819721222,57.89
41,0.7601208887289247,76.864,1.6407284021377564,57.79
42,0.7269766068519534,77.896,1.6684308564662933,57.56
43,0.7048886247608058,78.396,1.6894699692726136,57.36
44,0.6747973013259566,79.38,1.6897845196723937,57.52
45,0.6520189235887259,80.088,1.7166419112682343,57.1
46,0.6244233986910652,80.784,1.7244528555870056,57.67
47,0.6123882487911703,81.006,1.76473162651062,57.24
48,0.5859690966356136,81.914,1.77402503490448,57.03
49,0.5772428322021309,82.112,1.784684303998947,56.84
50,0.5520697554663929,82.956,1.8410751700401307,56.48
51,0.5419261193336429,82.926,1.8529251194000245,56.25
52,0.5223608232672562,83.78,1.8705067777633666,56.18
53,0.5051514526919636,84.276,1.8984607887268066,56.16
54,0.49458593808476575,84.614,1.887413750886917,56.27
55,0.4707321895053015,85.42,1.9199433159828185,56.22
56,0.4566959343145571,85.83,1.9281593179702758,56.21
57,0.4570755150998035,85.61,1.916774524450302,55.9
58,0.43420209345000477,86.332,1.9252724397182464,56.01
59,0.4290111389992487,86.7,1.9527515840530396,55.81
60,0.25749615677025006,92.604,1.763004207611084,59.16
61,0.1860942451278572,95.188,1.7546540999412537,59.84
62,0.16255684919140834,96.024,1.7587479865550995,59.62
63,0.14260076014968134,96.676,1.7559152448177338,60.11
64,0.12890267787534562,97.024,1.7607622134685517,60.33
65,0.12316055351968312,97.222,1.7696999776363374,60.27
66,0.11395809374501943,97.532,1.7694859576225281,60.34
67,0.10506075302429517,97.75,1.7798716485500337,60.09
68,0.10060191974806054,97.866,1.782448229789734,60.29
69,0.09516796776477028,98.048,1.7792244505882264,60.49
70,0.08954862306070754,98.21,1.7824427461624146,60.48
71,0.08644371694120605,98.304,1.7900457453727723,60.28
72,0.08378639090282228,98.308,1.7984250271320343,60.33
73,0.07870664666680728,98.484,1.799170047044754,60.22
74,0.07523270823118632,98.574,1.805377402305603,60.28
75,0.07073534597330691,98.672,1.8041431784629822,60.47
76,0.0696441875842145,98.736,1.807976198196411,60.53
77,0.06673393909202512,98.79,1.8127384269237519,60.69
78,0.06462258787925744,98.884,1.812149395942688,60.54
79,0.06275046963120817,98.89,1.821840444803238,60.4
80,0.060812501255851574,98.928,1.8235381841659546,60.51
81,0.05926558454437634,98.962,1.8271532678604125,60.69
82,0.05725719440547402,99.028,1.8257463693618774,60.56
83,0.05643824888083636,99.032,1.837093689441681,60.61
84,0.05293381805805599,99.142,1.8320811891555786,60.53
85,0.051551023593453496,99.14,1.8349430131912232,60.35
86,0.04962707655337613,99.218,1.8374252426624298,60.67
87,0.049534864661753025,99.184,1.840016839504242,60.69
88,0.04919251724791801,99.162,1.848131880760193,60.33
89,0.04527598346971795,99.328,1.8548872721195222,60.52
90,0.04308345859103343,99.354,1.8460433900356292,60.52
91,0.04347340040899756,99.32,1.8480158400535585,60.46
92,0.04195021013336261,99.394,1.8464802241325378,60.68
93,0.04142142352088333,99.398,1.8434665369987489,60.52
94,0.040817436864575764,99.452,1.8428796470165252,60.7
95,0.04014928725874409,99.428,1.8460271692276,60.7
96,0.04068666432157654,99.412,1.8449944865703582,60.53
97,0.04093078900214352,99.424,1.8399556601047515,60.83
98,0.04127369045763445,99.402,1.8425947284698487,60.43
99,0.039743227584054096,99.488,1.8407580590248107,60.99
