Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.0237079337429817,1.586,4.338147314288948,3.13
2,0.9431453982887366,4.72,4.017293902892101,6.23
3,0.8841708627198358,8.632,3.789414496361455,10.24
4,0.8248386011099267,12.858,3.5014275176615657,15.11
5,0.7550403321795451,18.398,3.367556587050233,18.47
6,0.6932768224145446,23.724,3.141895318333107,23.76
7,0.6443850061167842,28.712,2.719809486896177,30.91
8,0.5837430533240823,33.772,2.6512081079845187,32.0
9,0.5308439481593764,38.804,2.4825913860828064,35.42
10,0.47966154792424665,44.008,2.144729677634903,42.69
11,0.4262191490139193,48.688,1.9629050447971006,47.34
12,0.3921851572173331,53.31,1.8398241891136653,49.89
13,0.34670606903407886,57.916,1.6296385617195805,54.52
14,0.31490425746459183,61.516,1.5428277676618551,56.7
15,0.297699447483053,63.892,1.4808431411091285,58.6
16,0.4973566416279434,39.36,2.5541964603375784,35.53
17,0.46492298820134625,45.818,2.495632394959655,36.3
18,0.4300684178881633,48.658,2.39377483989619,39.65
19,0.4222939785789041,50.836,2.083809814875639,44.87
20,0.3918586920594315,52.832,2.1811816918699045,43.97
21,0.38191336164694,54.498,2.14106238944621,44.39
22,0.36634378024684194,56.078,2.1009143772004526,45.77
23,0.3617038065210328,57.4,1.9237590605699564,48.77
24,0.3407845161759945,59.086,1.7343630519094346,52.96
25,0.3340958795888954,60.44,1.84726849990555,49.97
26,0.31481540507977573,61.904,1.8364801799194723,51.52
27,0.30606917804464356,63.524,1.9262247447726093,48.25
28,0.2896723027729317,64.924,1.6416540674016447,55.66
29,0.27220263398821704,66.568,1.544768728787386,58.04
30,0.26520040928555266,68.208,1.5967720535737049,56.29
31,0.24651581933126426,70.138,1.6830070199845713,54.98
32,0.23173398206301052,72.18,1.400945147381553,61.35
33,0.2127822274747102,73.938,1.4670012495185756,60.19
34,0.19714585426823258,76.15,1.4074842794032036,61.62
35,0.17744430495649957,78.576,1.2744305503519275,64.83
36,0.1514528219962059,81.158,1.20908832399151,66.68
37,0.12934903034468745,83.908,1.1877877666980405,67.51
38,0.10611164021065168,86.926,1.1381845391249354,68.95
39,0.08273084229215637,89.892,1.0870676266996167,70.16
40,0.06421156940252884,92.56,1.030708389191688,71.72
41,0.04792220358882109,94.726,1.0246586294113835,72.24
42,0.037713099909408014,96.17,0.9927240866649,73.34
43,0.032171048776572925,97.132,0.9821092516561097,73.73
44,0.027306933079839057,97.776,0.9820973842958861,73.46
45,0.025106086088415913,98.008,0.9851830571512633,73.48
46,0.36181777547997285,50.806,2.159094976473458,45.31
47,0.3245276298059527,59.984,1.9439294338226318,49.76
48,0.30769761200146295,61.694,1.9189385598218893,49.26
49,0.30336295018720505,62.892,2.366166344171838,44.74
50,0.3001960151640655,63.486,2.041894023931479,47.11
51,0.3023427069339606,64.364,1.6497184868100323,55.27
52,0.30016116413009136,64.46,1.721208848530733,54.9
53,0.28899455040007294,65.3,1.6487278696856922,55.62
54,0.28938317878167036,65.694,1.9548977296563643,49.75
55,0.28294558842163864,65.964,1.82580402832997,53.21
56,0.2779970036443237,66.63,1.8137981710554678,52.6
57,0.2721414732201325,67.19,2.0246245498898663,49.05
58,0.27635879330622876,66.934,1.7436870427071294,53.59
59,0.2746915533719465,67.764,1.7822141194645362,53.57
60,0.2686105731808011,67.98,1.795479386667662,52.87
61,0.26223023346318003,68.55,1.672083491011511,56.24
62,0.2552267453249763,69.254,1.7219966981984391,55.62
63,0.2533970043787261,69.45,1.809819078143639,53.65
64,0.2534111268684992,69.98,1.5675580803352067,57.32
65,0.23619712435680887,70.592,1.7094306840172298,55.23
66,0.23628384713321696,71.484,1.694205087951467,54.79
67,0.23594093383730524,71.488,1.6656935501702224,55.25
68,0.23076640080917826,72.492,1.4357594583607927,61.06
69,0.2258626175353594,73.044,1.5476328798487216,58.45
70,0.2233835021248254,73.634,1.5140156157409088,59.53
71,0.2166449941332688,74.366,1.374169703525833,62.14
72,0.2128054481333174,75.05,1.7333963279482685,55.38
73,0.19976701532178523,76.044,1.5486836659757397,59.75
74,0.19667303729850008,76.488,1.5050367856327491,60.21
75,0.19122153871199665,77.946,1.6219761929934537,58.15
76,0.17967515162494788,78.496,1.4055241361449036,62.54
77,0.16638582091197332,79.42,1.4030989106697371,62.53
78,0.16378220100232097,80.426,1.3808547198017942,63.76
79,0.1544348206513983,81.334,1.3525742413122444,63.91
80,0.1442322806476632,82.652,1.4454745914362654,62.5
81,0.14121544002876868,83.934,1.239132354531107,65.99
82,0.12537817881845148,85.37,1.3256143882304807,65.38
83,0.11448026343684672,86.43,1.235973047304757,67.05
84,0.10314436466492655,88.026,1.2885125490683544,65.55
85,0.09602880679890323,89.134,1.2700616589075402,66.96
86,0.08065784629196157,90.934,1.3290336675281766,67.01
87,0.07120396475048016,91.976,1.1255913414532626,70.57
88,0.05712533042863812,93.496,1.1877347178097013,69.59
89,0.04531979983877343,94.972,1.14488008882426,70.67
90,0.03645597806062235,96.27,1.0883194359042976,71.91
91,0.024150530138360264,97.604,1.0543614708924596,72.57
92,0.021495827495137138,98.198,1.0374220602120026,73.83
93,0.016531988630628647,98.72,1.0221607175808918,73.99
94,0.011694945747513905,99.202,0.9745896420901334,75.09
95,0.008801123999116365,99.49,0.9623700010625622,75.34
96,0.007708494530042724,99.62,0.945909624612784,75.84
97,0.0064336826114931986,99.7,0.9386132676390153,75.72
98,0.005556218399930641,99.774,0.9420627974256685,75.87
99,0.005172044565172299,99.802,0.9296440195433701,76.17
100,0.00457375740770565,99.878,0.93526830099806,76.07
