Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.077609775621263,0.958,4.63976787615426,0.97
2,0.8481616425087385,8.68,3.697509578511685,12.69
3,0.7242143215120905,18.108,3.223101972024652,20.23
4,0.6230634435668321,26.676,2.75801419306405,29.85
5,0.5351314980660558,35.484,2.3498995877519437,37.61
6,0.4810694276219439,42.322,2.4544674324083933,36.7
7,0.42589757875408357,48.496,2.0728583200068416,44.23
8,0.3825108501917261,53.074,1.868413027328781,48.98
9,0.35360731645618254,56.75,1.7691343796404102,50.96
10,0.3209586109956512,60.126,1.5972965186155295,55.67
11,0.29884174809126596,63.384,1.6201431328737284,55.3
12,0.27437559006464146,66.686,1.4538396370561817,59.11
13,0.24144565921915156,70.326,1.3002107339569284,62.65
14,0.2011898609683337,74.202,1.2497390916075888,64.64
15,0.17270218792473874,78.702,1.0949579001982002,68.96
16,0.13673387387829364,83.252,1.007725308967542,71.05
17,0.09682902575606275,87.888,0.9484256370158135,72.93
18,0.07079678659548845,91.67,0.9120766037627112,74.54
19,0.055868890317504666,93.766,0.8916145050072972,75.1
20,0.3295627356795094,57.166,1.6395093247860293,54.52
21,0.3092755108233303,62.686,1.595185537881489,56.05
22,0.2852447412507918,65.122,1.6387113891070402,55.53
23,0.2851456393061392,66.51,1.6935937012298197,54.44
24,0.2679143987043434,67.402,1.581698269783696,56.32
25,0.2585059139124878,68.746,1.5395510045787957,58.35
26,0.24612625922693315,69.638,1.5698200494428225,56.89
27,0.23996892350409038,70.73,1.4599189547043812,60.11
28,0.2316742383915445,72.182,1.4454038595851464,60.17
29,0.22435929891093612,73.44,1.3842858264717874,61.62
30,0.21292170539231556,74.506,1.619970904120916,57.18
31,0.20632939936254946,75.834,1.5371021032333374,59.75
32,0.1870634932347271,77.54,1.3759050723872608,63.07
33,0.17011001012514315,79.252,1.4037340306028534,61.99
34,0.15684888201296482,81.02,1.3469940529593938,63.01
35,0.1431703017190899,83.116,1.3708491755437247,63.85
36,0.1234489567292011,85.476,1.1420087331457982,68.58
37,0.11037566762446138,87.812,1.1517797625517543,68.92
38,0.0804909400622863,90.424,1.0911027442050885,70.16
39,0.06216784423726904,93.392,1.0297549065155318,72.04
40,0.04198816418647766,95.61,0.9549761082552657,74.05
41,0.025397862686449304,97.588,0.9371506677398199,75.25
42,0.014974898141820717,98.654,0.8890204814415944,76.69
43,0.009002020580174826,99.362,0.8473310613933998,77.87
44,0.005631480520815038,99.626,0.8408825925633877,78.09
45,0.004453296825537444,99.798,0.8349844390832926,78.42
46,0.0035876256802007365,99.878,0.8184923529624939,78.63
47,0.0031625521333549945,99.888,0.8190165154541595,78.66
48,0.00283887161566016,99.938,0.8205923400347745,78.79
49,0.0028723230921303675,99.942,0.8166952401022368,78.5
50,0.3026696158492047,60.454,1.7965935197057603,53.29
51,0.2630380052129936,67.318,1.606771776947794,56.11
52,0.24625421561243588,69.754,1.535739221150362,58.85
53,0.24130943074555652,71.25,1.5303245979019358,59.46
54,0.22935299144681456,72.326,1.5283230060263524,58.77
55,0.22148666433666064,72.65,1.4758568851253655,60.6
56,0.22145548546710586,73.416,1.4954114790204205,59.69
57,0.219457898908259,73.956,1.6210017068476616,56.94
58,0.22193087808921208,74.358,1.4990843066686317,59.88
59,0.21030900789343793,74.818,1.5690968097010745,58.28
60,0.21201141197663134,75.018,1.4219849909408182,61.74
61,0.20494971128985706,75.51,1.4366489301753949,61.61
62,0.20553271925967673,76.086,1.5562780024130134,59.81
63,0.19806239778733314,76.57,1.46063003962553,61.22
64,0.1930125939571644,76.826,1.4243350828750223,61.87
65,0.19539284218302774,77.498,1.5657423478138597,59.37
66,0.19031644187619923,78.058,1.4288284310811683,61.25
67,0.18019046762105448,78.694,1.4445935276490223,62.12
68,0.17651912791039936,79.078,1.3754325094102304,63.09
69,0.17005068261909972,79.774,1.4367233348798147,61.94
70,0.16513142012574178,80.218,1.446709602693968,61.83
71,0.16292022683126542,81.176,1.4736639200886594,60.76
72,0.1559915992305102,82.024,1.4088228382641756,62.85
73,0.16095368621294456,82.148,1.395643421366245,63.05
74,0.1450754422360979,82.956,1.2991076655025724,64.87
75,0.14264514028568706,84.074,1.327686585957491,64.39
76,0.13071435232601508,85.002,1.3970754320108438,64.27
77,0.12427966361460478,85.76,1.348962795130814,65.32
78,0.11364760499476168,87.026,1.297933717317219,66.44
79,0.11101527203379384,87.622,1.2842033580888677,66.25
80,0.10425024744494797,88.222,1.2493297336976739,66.73
81,0.10280319781559508,88.932,1.2578098321262794,67.43
82,0.08352755124459181,90.55,1.1812266134008576,69.4
83,0.06928784790856149,91.958,1.2286940096299859,68.0
84,0.06938120783747309,92.99,1.2397206244589407,67.94
85,0.0603109584058947,93.528,1.262708245198938,68.29
86,0.04766828820223699,94.728,1.1335836837563333,70.57
87,0.0389174706566974,95.714,1.0323021283632592,73.13
88,0.03127994064403617,96.88,1.054343840743922,72.86
89,0.024620498975981838,97.724,1.0218365260317355,73.59
90,0.017911306008353563,98.36,0.9627176319496541,75.07
91,0.013072374793688965,98.95,0.9302197091187103,76.19
92,0.008739611172043454,99.396,0.8837672879424276,77.24
93,0.006474982051517043,99.706,0.8612254009216647,77.88
94,0.00468040812913033,99.756,0.8303751817232445,78.54
95,0.003853157636664255,99.84,0.8182710409164429,78.59
96,0.003145329017058739,99.872,0.8070305548136747,79.12
97,0.002889826958117735,99.922,0.7914484196071383,79.36
98,0.0028891381200241008,99.924,0.7965835589396802,79.46
99,0.0024754106164778895,99.952,0.783975799626942,79.88
100,0.0021369452266703786,99.94,0.7891903195200087,79.85
